"name","track_id","album_id","composer","milliseconds","bytes","unit_price"
"F*Ckin' Up",2164,"178","Neil Young",377652,12360893,"0.99"
"Idolatrada",1936,"159","Milton Nascimento, Fernando Brant",286249,9426153,"0.99"
"The Meaning Of The Blues",1909,"157","R. Troup, L. Worth",168594,5395412,"0.99"
"All or None",2192,"180","Stone Gossard",277655,9104728,"0.99"
"Shock Me",443,"37","Ace Frehley",227291,7529336,"0.99"
"I Believe",2329,"190","R.E.M.",227709,7542929,"0.99"
"Sun King",2636,"213",NULL,368431,12010865,"0.99"
"Friend Of A Friend",1003,"80","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",193280,6355088,"0.99"
"Saber Amar",2073,"168","Herbert Vianna",202788,6723733,"0.99"
"Basketball",3176,"249",NULL,1323541,267464180,"1.99"
"Nega Do Cabelo Duro",2250,"184",NULL,121808,4116536,"0.99"
"Red Light",3025,"239","U2",225854,7453704,"0.99"
"Vivo Isolado Do Mundo",3149,"248","Alcides Dias Lopes",180035,6073995,"0.99"
"Boogie With Stu",1652,"135","Ian Stewart/John Bonham/John Paul Jones/Mrs. Valens/Robert Plant",233273,7657086,"0.99"
"Enquanto O Mundo Explode",261,"24","Chico Science",88764,2968650,"0.99"
"Year to the Day",3100,"245","Van Halen",514612,16621333,"0.99"
"#1 Zero",109,"11","Cornell, Commerford, Morello, Wilk",299102,9731988,"0.99"
"Minas",1929,"159","Milton Nascimento, Caetano Veloso",152293,4921056,"0.99"
"Saudosismo",213,"21","Caetano Veloso",144326,4726981,"0.99"
"Flor De Lis",869,"70","Djavan",236355,7801108,"0.99"
"The Spirit Of Radio",2406,"196","Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush",299154,9862012,"0.99"
"Be Quick Or Be Dead",1224,"96","Bruce Dickinson/Janick Gers",196911,3151872,"0.99"
"Living In America",1430,"115","Charlie Midnight/Dan Hartman",282880,9432346,"0.99"
"Old School Hollywood",2563,"207","Dolmayan, John/Malakian, Daron/Odadjian, Shavo",176953,5830258,"0.99"
"Spectacle",3108,"246","Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",221701,7252876,"0.99"
"A Sombra Da Maldade",301,"27","Da Gama/Toni Garrido",285231,9544383,"0.99"
"Sting Me",2573,"209","Chris Robinson/Rich Robinson",268094,8813561,"0.99"
"Overkill",1825,"149","Clarke/Kilmister/Tayler",245133,7971330,"0.99"
"I Looked At You",2646,"214","Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",142080,4663988,"0.99"
"2 Minutes To Midnight",1319,"104","Adrian Smith/Bruce Dickinson",338233,8122030,"0.99"
"As Dores do Mundo",1521,"123","Hyldon",255477,8537092,"0.99"
"Formigueiro",2780,"223",NULL,252943,8455132,"0.99"
"A Small Victory",944,"75",NULL,297168,9733572,"0.99"
"Run to the Hills",1392,"112","Steve Harris",228884,3209124,"0.99"
"War Pigs",3280,"256",NULL,515435,8270194,"0.99"
"Caleidoscópio",2064,"167","Herbert Vianna",256522,8484597,"0.99"
"This Is Radio Clash",2605,"211","The Clash",249756,8366573,"0.99"
"Journey Into Sunlight",1194,"93","Jean Paul Maunick",249756,8241177,"0.99"
"Custard Pie",550,"44","Jimmy Page/Robert Plant",253962,8348257,"0.99"
"Réu Confesso",2765,"222","Tim Maia",217391,7189874,"0.99"
"Tequila - Lourinha Bombril (Parate Y Mira)",2060,"167","Bahiano/Chuck Rio/Diego Blanco/Herbert Vianna",255738,8514961,"0.99"
"Vento No Litoral",1697,"140","Dado Villa-Lobos/Marcelo Bonfá",366445,12063806,"0.99"
"Heart Of Stone",2665,"216","Jagger/Richards",164493,5329538,"0.99"
"Electric Eye",1552,"125",NULL,222197,7231368,"0.99"
"Radio Song",1472,"119","C. Cester/C. Muncey/N. Cester",272117,8871509,"0.99"
"Stranger in a Strange Land",1383,"111","Adrian Smith",344502,8270899,"0.99"
"União Da Ilha",563,"45","Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",330945,11100945,"0.99"
"Company Man",2855,"228",NULL,2601101,503786316,"1.99"
"Esperando Por Mim",1683,"139","Renato Russo",261668,8844133,"0.99"
"No More Lies",1247,"98","Steve Harris",441782,17672320,"0.99"
"Thank You",1586,"127","Robert Plant",398262,12831826,"0.99"
"Meu Bem-Querer",852,"69",NULL,255608,8330047,"0.99"
"Message in a Bottle (new classic rock mix)",2663,"215","G M Sumner",290951,9640349,"0.99"
"The Unwritten Law",774,"61","Richie Blackmore, Ian Gillian, Roger Glover, Ian Paice",295053,9740361,"0.99"
"Dancing Days",1599,"129","Jimmy Page/Jimmy Page & Robert Plant/Robert Plant",223216,7250104,"0.99"
"Rock You Like a Hurricane",3288,"257",NULL,255766,4300973,"0.99"
"Never Say Die",3284,"256",NULL,258343,4173799,"0.99"
"I'm A Greedy Man Pt.1",1426,"115","Charles Bobbitt/James Brown",217730,7251211,"0.99"
"Com Açúcar E Com Afeto",238,"23",NULL,175386,5846442,"0.99"
"Too Fast For Love",1983,"162","Nikki Sixx",200829,6580542,"0.99"
"Wake Up",49,"6","Alanis Morissette & Glenn Ballard",293485,9703359,"0.99"
"Don't Go Away Mad (Just Go Away)",1979,"162","Mick Mars/Nikki Sixx",279980,9188156,"0.99"
"All My Love",3316,"258","E. Schrody/L. Dimant",200620,8027065,"0.99"
"N.I.B.",3282,"256",NULL,335248,5399456,"0.99"
"Romeo et Juliette: No. 11 - Danse des Chevaliers",3444,"310",NULL,275015,4519239,"0.99"
"Last Night On Earth",2980,"236","Bono, The Edge, Adam Clayton, and Larry Mullen",285753,9401017,"0.99"
"Garden",2201,"181","Jeff Ament/Stone Gossard",299154,9740738,"0.99"
"02 - Sanctuary",1269,"100","David Murray/Paul Di'Anno/Steve Harris",196284,4712576,"0.99"
"Loverman",413,"35","Cave",472764,15446975,"0.99"
"Tim Tim Por Tim Tim",392,"34","Vários",213237,7143328,"0.99"
"Given To Fly",2150,"178","Eddie Vedder & Mike McCready",233613,7678347,"0.99"
"Edge Of The World",974,"77","Faith No More",250357,8235607,"0.99"
"Travelling Riverside Blues",344,"30","Jimmy Page/Robert Johnson/Robert Plant",312032,10232581,"0.99"
"Gavioes 2001",362,"32",NULL,282723,9616640,"0.99"
"Getaway Car",97,"10","Audioslave/Chris Cornell",299598,7193162,"0.99"
"Reggae Tchan",334,"29","Cal Adan/Del Rey, Tension/Edu Casanova",206654,6931328,"0.99"
"Wasted My Hate",1848,"151","James Hetfield, Lars Ulrich, Kirk Hammett",237296,7762300,"0.99"
"Don't Tread On Me",1806,"148","Ulrich",240483,7827907,"0.99"
"Faltando Um Pedaço",856,"69",NULL,267728,8788760,"0.99"
"Kickstart My Heart",1972,"162","Nikki Sixx",283559,9237736,"0.99"
"Fade To Black",1877,"154","Metallica",414824,13531954,"0.99"
"Metrô. Linha 743",735,"57",NULL,174654,5837495,"0.99"
"Cascades : I'm Not Your Lover",790,"63","Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",283689,9209693,"0.99"
"Portela",565,"45","Flavio Bororo/Paulo Apparicio/Wagner Alves/Zeca Sereno",319608,10712216,"0.99"
"Sul Da América",2470,"200","Samuel Rosa",254928,8484871,"0.99"
"The Evil That Men Do",1312,"103",NULL,478145,11479913,"0.99"
"The Hunting Party",2889,"231",NULL,2611333,520350364,"1.99"
"The Battle Rages On",816,"66","ian paice/jon lord",356963,11626228,"0.99"
"Always Be All Right",1529,"123",NULL,128078,4299676,"0.99"
"It's a Mistake",1797,"147",NULL,273371,8979965,"0.99"
"Show Me How to Live (Live at the Quart Festival)",3401,"271",NULL,301974,4901540,"0.99"
"One of Them",2897,"231",NULL,2698791,542332389,"1.99"
"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph",3442,"308","Ludwig van Beethoven",412000,6965201,"0.99"
"I Wish It Would Rain",1784,"146","Barrett Strong/Norman Whitfield/Roger Penzabene",172486,5647327,"0.99"
"Cuckoo For Caca",954,"76","Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",222902,7388369,"0.99"
"Big Wave",2172,"179","Jeff Ament",178573,5858788,"0.99"
"I Want To Break Free",423,"36","John Deacon",259108,8552861,"0.99"
"Don't Damn Me",1170,"91",NULL,318901,5385886,"0.99"
"Helpless",927,"74","Bill Gould/Mike Bordin/Mike Patton",326217,10753135,"0.99"
"Psychopomp",2708,"219","The Tea Party",315559,10295199,"0.99"
"Travis Walk",2537,"205","Stevie Ray Vaughan",140826,4650979,"0.99"
"Ice 9",1497,"121",NULL,239721,4036215,"0.99"
"Lost Planet of the Gods, Pt. 2",3230,"253",NULL,2914664,534343985,"1.99"
"Give Me Love",1765,"145","Caetano Veloso e Gilberto Gil",249808,8196331,"0.99"
"Pushin Forward Back",3368,"269",NULL,225278,3892066,"0.99"
"Lost Planet of the Gods, Pt. 1",3229,"253",NULL,2922547,537812711,"1.99"
"Slide It In",3138,"141","Coverdale",202475,6615152,"0.99"
"Now I'm Here",2264,"185","May, Brian",255346,8328312,"0.99"
"Água de Beber",379,"33","Antonio Carlos Jobim/Vinicius de Moraes",146677,4866476,"0.99"
"Space Cowboy",1465,"118","J. Kay/Jay Kay",385697,12906520,"0.99"
"Dezesseis",1700,"140","Dado Villa-Lobos/Marcelo Bonfá",321724,10501773,"0.99"
"The Trooper",1361,"108","Steve Harris",273528,10942592,"0.99"
"Todo Amor Que Houver Nesta Vida",734,"57",NULL,227160,7420347,"0.99"
"Ipiranga 2001",370,"32",NULL,248293,8522591,"0.99"
"Dazed and Confused",340,"30","Jimmy Page",401920,13035765,"0.99"
"Born On The Bayou",697,"55","J.C. Fogerty",316630,10361866,"0.99"
"Gangland",1389,"112","Adrian Smith/Clive Burr/Steve Harris",228440,3202866,"0.99"
"Up An' Atom",633,"51",NULL,179565,5822645,"0.99"
"Dead Horse",1172,"91",NULL,257600,4394014,"0.99"
"The Garden",1168,"91",NULL,322175,5438862,"0.99"
"Paint It Black",2672,"216","Jagger/Richards",226063,7442888,"0.99"
"Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato",3440,"306","Edward Elgar",483133,7865479,"0.99"
"This Velvet Glove",2401,"195","Red Hot Chili Peppers",225280,7480537,"0.99"
"Night Time Is The Right Time",701,"55","J.C. Fogerty",190119,6211173,"0.99"
"Gimme Some Truth",3260,"255",NULL,232778,3780807,"0.99"
"Mofo",2977,"236","Bono, The Edge, Adam Clayton, and Larry Mullen",349178,11583042,"0.99"
"Padre Cícero",2773,"223",NULL,139598,4581685,"0.99"
"From Here To Eternity",1257,"99","Steve Harris",218357,8739038,"0.99"
"Mercyful Fate",414,"35","Diamond/Shermann",671712,21942829,"0.99"
"Cocktails",3216,"251",NULL,1272522,259011909,"1.99"
"Maracatu De Tiro Certeiro",276,"25",NULL,88868,2901397,"0.99"
"Indifference",2215,"182","Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard",302053,9756133,"0.99"
"Mata Virgem",2349,"192",NULL,142602,4690029,"0.99"
"Come Back",2176,"179","Eddie Vedder & Mike McCready",329743,10768701,"0.99"
"Aces High",1288,"102",NULL,276375,6635187,"0.99"
"Hard Luck Woman",438,"37","Paul Stanley",216032,7109267,"0.99"
"Hysteria",840,"67",NULL,355056,11622738,"0.99"
"Through a Looking Glass",3224,"229",NULL,5088838,1059546140,"1.99"
"King For A Day",1453,"117","Jay Kay/Toby Smith",221544,7335693,"0.99"
"Samba De Uma Nota Só (One Note Samba)",65,"8",NULL,137273,4535401,"0.99"
"The Whole Truth",2905,"231",NULL,2610125,495487014,"1.99"
"Give Me Novacaine",1139,"89","Green Day",205871,6752485,"0.99"
"Act IV, Symphony",3486,"331","Henry Purcell",364296,5987695,"0.99"
"Burn",543,"43","Coverdale/Lord/Paice",453955,14775708,"0.99"
"Naked Sunday",2547,"206","D. DeLeo/Kretz/R. DeLeo/Weiland",229720,7444201,"0.99"
"Encontrar Alguém",1526,"123","Marco Tulio Lara/Rogerio Flausino",224078,7437935,"0.99"
"There's No Place Like Home, Pt. 3",3364,"261",NULL,2582957,486161766,"1.99"
"Wrathchild",1300,"102","Steve Harris",183666,4410181,"0.99"
"Nothing But Love",2220,"141",NULL,221570,7335228,"0.99"
"Formosa",652,"52",NULL,137482,4560873,"0.99"
"Smoked Pork",166,"18",NULL,47333,1549074,"0.99"
"I Heard Love Is Blind",3470,"322",NULL,129666,2190831,"0.99"
"Women In Uniform",2143,"177","Greg Macainsh",189936,6139651,"0.99"
"How to Stop an Exploding Man",3223,"228",NULL,2687103,487881159,"1.99"
"Like a Stone",89,"10","Audioslave/Chris Cornell",294034,7059624,"0.99"
"Cigano",853,"69",NULL,304692,10037362,"0.99"
"Springsville",1902,"157","J. Carisi",207725,6776219,"0.99"
"O Que É O Que É ?",504,"41",NULL,259291,8650647,"0.99"
"Big City Nights",3293,"257",NULL,251865,4237651,"0.99"
"Millenium",1196,"93","Maxton Gig Beesley Jnr.",379167,12511939,"0.99"
"Over The Hills And Far Away",1597,"129","Jimmy Page/Jimmy Page & Robert Plant/Robert Plant",290089,9552829,"0.99"
"Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)",662,"53",NULL,163970,5399626,"0.99"
"Shape The Sky",2617,"212","Billy Duffy/Ian Astbury",209789,6885647,"0.99"
"Invisible Kid",1886,"155","Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich",510197,16591800,"0.99"
"Crazy Train",2100,"174","O. Osbourne, R. Daisley, R. Rhoads",322716,10517408,"0.99"
"Dujji",1066,"84",NULL,324597,10833935,"0.99"
"The Clansman",1409,"114","Steve Harris",539689,21592327,"0.99"
"Eu So Queria Sumir",3322,"259",NULL,269740,10791921,"0.99"
".07%",3166,"228",NULL,2585794,541715199,"1.99"
"Fried Neckbones And Home Fries",2426,"197","W.Correa",638563,20939646,"0.99"
"Jamie's Cryin'",3086,"244","Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",210546,6946086,"0.99"
"Wainting On A Friend",2683,"217","Jagger/Richards",302497,9978046,"0.99"
"May This Be Love",1485,"120","Jimi Hendrix",191216,6240028,"0.99"
"Better Man",2162,"178","Eddie Vedder",246204,8019563,"0.99"
"Leave",2301,"189","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",437968,14433365,"0.99"
"Pretty Noose",2518,"203","Chris Cornell",253570,8317931,"0.99"
"O Encontro De Isaac Asimov Com Santos Dumont No Céu",254,"24","Chico Science",99108,3240816,"0.99"
"Cryin'",29,"5","Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,"0.99"
"Cherub Rock",2491,"202","Billy Corgan",299389,9786739,"0.99"
"Fear Is The Key",1259,"99","Bruce Dickinson/Janick Gers",335307,13414528,"0.99"
"3 Gymnopédies: No.1 - Lent Et Grave, No.3 - Lent Et Douloureux",3487,"332","Erik Satie",385506,6458501,"0.99"
"When Two Worlds Collide",1410,"114","Blaze Bayley/David Murray/Steve Harris",377312,15093888,"0.99"
"Blues For Pablo (Alternate Take)",1913,"157","Gil Evans",212558,6900619,"0.99"
"Dois Pra Lá, Dois Pra Cá",880,"71",NULL,263026,8684639,"0.99"
"A Benihana Christmas, Pts. 1 & 2",3209,"251",NULL,2519436,515301752,"1.99"
"Morning Dance",2523,"204","Jay Beckenstein",238759,8101979,"0.99"
"Looking For Love",3136,"141","Sykes",391941,12769847,"0.99"
"Salve Simpatia",1509,"122",NULL,343484,11314756,"0.99"
"Fogo De Palha",1739,"143",NULL,246804,8133732,"0.99"
"Me & Mr. Jones",3457,"321",NULL,151706,2449438,"0.99"
"Just Another Story",1455,"118","Toby Smith",529684,17582818,"0.99"
"Celebration Day",1638,"134","Jimmy Page, Robert Plant, John Paul Jones",209528,6871078,"0.99"
"Quadrant",123,"13","Billy Cobham",261851,8538199,"0.99"
"Cristina Nº 2",2762,"222","Carlos Imperial/Tim Maia",90148,2978589,"0.99"
"Você Passa, Eu Acho Graça (Ao Vivo)",721,"56",NULL,206733,6943576,"0.99"
"Don't Look Now",704,"55","J.C. Fogerty",131918,4366455,"0.99"
"Wrathchild",2139,"177","Steve Harris",170396,5499390,"0.99"
"For Those About To Rock (We Salute You)",1,"1","Angus Young, Malcolm Young, Brian Johnson",343719,11170334,"0.99"
"Saudade Louca",3158,"248","Acyr Marques/Arlindo Cruz/Franco",243591,8136475,"0.99"
"Imagination",638,"51",NULL,289306,9444385,"0.99"
"Dream Of Mirrors",1240,"97","Janick Gers/Steve Harris",561162,22448256,"0.99"
"Leila",1681,"139","Renato Russo",323056,10608239,"0.99"
"Música Urbana 2",724,"56",NULL,194899,6383472,"0.99"
"Secrets",3055,"242","Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony",206968,6803255,"0.99"
"Indios",1691,"140","Renato Russo",258168,8610226,"0.99"
"KKK Bitch",173,"18",NULL,173008,5709631,"0.99"
"Shoot You In The Back",1944,"160","Clarke/Kilmister/Taylor",160026,5175327,"0.99"
"Taj Mahal",1519,"122",NULL,289750,9502898,"0.99"
"Without You",3093,"245","Van Halen",390295,12619558,"0.99"
"Venice Queen",2390,"194","Anthony Kiedis, Flea, John Frusciante, and Chad Smith",369110,12280381,"0.99"
"Save Me (Remix)",2711,"219","The Tea Party",396303,13053839,"0.99"
"She's A Rebel",1140,"89","Green Day",120528,3901226,"0.99"
"Invisible Sun",2657,"215","G M Sumner",225593,7304320,"0.99"
"Let's Get It Up",7,"1","Angus Young, Malcolm Young, Brian Johnson",233926,7636561,"0.99"
"Fight From The Inside",2276,"186","Taylor",184737,6078001,"0.99"
"Mundaréu",2022,"165",NULL,217521,7158975,"0.99"
"Run Through The Jungle",687,"54","J. C. Fogerty",186044,6156567,"0.99"
"Whatever It Is, I Just Can't Stop",1440,"116","Jay Kay/Kay, Jay",247222,8249453,"0.99"
"El Farol",580,"46","Carlos Santana & KC Porter",291160,9599353,"0.99"
"In The Evening",1603,"130","Jimmy Page, Robert Plant & John Paul Jones",410566,13399734,"0.99"
"Music for the Funeral of Queen Mary: VI. Thou Knowest, Lord, the Secrets of Our Hearts",3488,"333","Henry Purcell",142081,2365930,"0.99"
"Lounge Act",2011,"164","Kurt Cobain",156786,5093635,"0.99"
"Eggtown",3343,"261",NULL,2608817,501061240,"1.99"
"New Love",2757,"222","Tim Maia",237897,7786824,"0.99"
"C'Mon Everybody",116,"12","Eddie Cochran/Jerry Capehart",140199,2247846,"0.99"
"Summer Love",1040,"83","hans bradtke/heinz meier/johnny mercer",174994,5693242,"0.99"
"Genghis Khan",1281,"101","Steve Harris",187141,4493440,"0.99"
"Charles Anjo 45",1513,"122",NULL,389276,13022833,"0.99"
"Run To The Hilss",1220,"95","Steve Harris",237557,3803136,"0.99"
"Elderly Woman Behind The Counter In A Small Town",2213,"182","Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard",196336,6499398,"0.99"
"The Girl From Ipanema",1051,"83","antonio carlos jobim/norman gimbel/vinicius de moraes",193750,6410674,"0.99"
"Aces High",1344,"107","Harris",269531,6472088,"0.99"
"Temptation",2706,"219","The Tea Party",205087,6711943,"0.99"
"Levada do Amor (Ailoviu)",330,"29","Luiz Wanderley/Paulo Levi",190093,6457752,"0.99"
"Forty Days Instrumental",1072,"84",NULL,292493,9584317,"0.99"
"When I Come Around",473,"39","Billie Joe Armstrong -Words Green Day -Music",178364,5839426,"0.99"
"God Of Thunder",448,"37","Paul Stanley",255791,8309077,"0.99"
"Sunshine",58,"7","Jerry Cantrell",284969,9216057,"0.99"
"Loving The Alien",3116,"246","Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",348786,11412762,"0.99"
"Coming In Hot",2225,"141",NULL,213054,7109414,"0.99"
"Eu Vim Da Bahia - Live",395,"34","Vários",157988,5115428,"0.99"
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",3432,"299","Nikolai Rimsky-Korsakov",545203,8916313,"0.99"
"I Remember California",2294,"188","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",304013,9950311,"0.99"
"Mistreated (Alternate Version)",622,"50","Blackmore/Coverdale",854700,27775442,"0.99"
"War of the Gods, Pt. 1",3240,"253",NULL,2922630,505761343,"1.99"
"Drifter",1286,"101","Steve Harris",288757,6934660,"0.99"
"Shamrocks And Shenanigans (Boom Shalock Lock Boom/Butch Vig Mix)",3318,"258","E. Schrody/L. Dimant",237035,9483705,"0.99"
"Alegria, Alegria",528,"23",NULL,169221,5497025,"0.99"
"Começaria Tudo Outra Vez",503,"41",NULL,196545,6473395,"0.99"
"Sozinho (Caêdrum 'n' Bass)",225,"22",NULL,328071,10975007,"0.99"
"Top O' The Morning To Ya",3303,"258","E. Schrody/L. Dimant",216633,8667599,"0.99"
"Surrender",3026,"239","U2",333505,11221406,"0.99"
"So What",607,"48","Miles Davis",564009,18360449,"0.99"
"Sombras Do Meu Destino",592,"47",NULL,280685,9161539,"0.99"
"Trupets Of Jericho",190,"19","Roy Z",359131,11820908,"0.99"
"Sometimes Salvation",2576,"209","Chris Robinson/Rich Robinson",389146,12749424,"0.99"
"The Full Bug",3062,"242","Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony",201116,6551013,"0.99"
"Domino",1566,"126","Gene Simmons",226377,7488191,"0.99"
"See You Tonight",1570,"126","Gene Simmons",146494,4817521,"0.99"
"Unidos Da Tijuca",560,"45","Douglas/Neves, Vicente Das/Silva, Gilmar L./Toninho Gentil/Wantuir",338834,11440689,"0.99"
"Bossa",2241,"184",NULL,29048,967098,"0.99"
"Eye Of The Beholder",1895,"156","James Hetfield, Lars Ulrich & Kirk Hammett",385828,12747894,"0.99"
"Hairshirt",2293,"188","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",235911,7753807,"0.99"
"Morning Glory",1464,"118","J. Kay/Jay Kay",384130,12777210,"0.99"
"Feel It",3315,"258","E. Schrody/R. Medrano",239908,9598588,"0.99"
"Nice Guys Finish Last",484,"39","Billie Joe Armstrong -Words Green Day -Music",170187,5604618,"0.99"
"Green Disease",2187,"180","Eddie Vedder",161253,5375818,"0.99"
"Hey Joe",1490,"120","Billy Roberts",210259,6870054,"0.99"
"Por Você",406,"34","Vários",205557,6792493,"0.99"
"Let's Get Rocked",829,"67",NULL,296019,9724150,"0.99"
"Rusty Cage",2513,"203","Chris Cornell",267728,8779485,"0.99"
"All My Life",1009,"81","Foo Fighters",263653,8665545,"0.99"
"Segue O Seco",1771,"145","Caetano Veloso e Gilberto Gil",178207,5922018,"0.99"
"It's A Man's Man's Man's World",1420,"115","Betty Newsome/James Brown",168228,5541611,"0.99"
"Breakfast In Bed",802,"64","Blackmore, Glover, Turner",317126,10323804,"0.99"
"Unchained",3069,"243","Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",208953,6777078,"0.99"
"Nobody Told Me",3263,"255",NULL,210348,3423395,"0.99"
"Pretinha",1104,"87",NULL,265273,8914579,"0.99"
"You Ain't the First",1163,"91",NULL,156268,2754414,"0.99"
"Laguna Sunrise",163,"17","Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",173087,5671374,"0.99"
"Nem 5 Minutos Guardados",2788,"224","Titãs",245995,8143797,"0.99"
"When The Levee Breaks",1617,"131","Jimmy Page, Robert Plant, John Paul Jones, John Bonham, Memphis Minnie",427702,13912107,"0.99"
"Norwegian Wood",1940,"159","John Lennon, Paul McCartney",413910,13520382,"0.99"
"De Noite Na Cama",1763,"145","Caetano Veloso e Gilberto Gil",209005,7012658,"0.99"
"Further Instructions",2863,"229",NULL,2563980,502041019,"1.99"
"Jeremy",2198,"181","Jeff Ament",318981,10447222,"0.99"
"Save Me",2261,"185","May, Brian",228832,7444624,"0.99"
"Drum Boogie",626,"51",NULL,191555,6185636,"0.99"
"Keep It To Myself (Aka Keep It To Yourself)",201,"20","Sonny Boy Williamson [i]",166060,5487056,"0.99"
"Sábado A Noite",310,"27","Lulu Santos",267363,8895073,"0.99"
"Canção Do Novo Mundo",1924,"158","Beto Guedes, Ronaldo Bastos",215353,7032626,"0.99"
"Na Cadência Do Samba",737,"57",NULL,196075,6483952,"0.99"
"Bittersweet Me",2303,"189","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",245812,8114718,"0.99"
"Parabolicamará",1114,"73","Gilberto Gil",284943,9543435,"0.99"
